Battery ID,Capacity (mAh),Battery Health (%),Cycle Count,Voltage (V),Temperature (°C),Internal Resistance (mΩ),Last Charge Date,Status
BAT-001,3000,85,500,3.7,30,200,2024-11-01,Good
BAT-002,3200,90,450,3.6,32,180,2024-11-02,Good
BAT-003,2800,75,600,3.8,28,220,2024-11-03,Needs Replacement
BAT-004,3100,80,520,3.7,31,210,2024-11-04,Fair
BAT-005,2950,88,480,3.65,29,190,2024-11-05,Good
BAT-006,3400,92,400,3.85,34,170,2024-11-06,Excellent
BAT-007,3300,95,350,3.9,33,160,2024-11-07,Excellent
BAT-008,3600,85,300,3.7,30,150,2024-11-08,Good
BAT-009,2900,78,550,3.6,27,230,2024-11-09,Needs Replacement
BAT-010,3150,82,510,3.75,31,200,2024-11-10,Fair
BAT-011,3000,88,490,3.7,29,185,2024-11-11,Good
BAT-012,3250,91,420,3.62,33,175,2024-11-12,Good
BAT-013,2850,73,580,3.78,28,225,2024-11-13,Needs Replacement
BAT-014,3120,81,530,3.71,30,205,2024-11-14,Fair
BAT-015,2980,89,470,3.68,32,195,2024-11-15,Good
BAT-016,3450,94,390,3.86,35,165,2024-11-16,Excellent
BAT-017,3350,96,340,3.92,34,155,2024-11-17,Excellent
BAT-018,3550,83,310,3.73,30,145,2024-11-18,Good
BAT-019,2920,79,560,3.67,27,240,2024-11-19,Needs Replacement
BAT-020,3180,87,500,3.74,31,195,2024-11-20,Fair
